127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000534
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000956
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000342
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000548
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003385
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000503
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000336
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000549
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000533
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000565
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000324
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001024
127.0.0.1, 2017-03-09 14:35:42, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.000546
